"Supplier name","Chinese name","Category","City / province","Main products","Website","Export markets","Certifications","Suitable products for RFQ","Risk notes","Priority rating: A / B / C","Why this supplier matters","Source"
"Sanhua","三花","Liquid Cooling Components; HVAC Components","Hangzhou / Shaoxing, Zhejiang","Expansion valves, solenoid valves, pressure controls, sensors, line components, heat exchangers","https://www.sanhuaeurope.com/en","Global HVAC component presence","Needs verification per component and destination compliance","Electronic expansion valves, ball valves, filter-driers, BPHE/MCHE heat exchangers","Component supplier; integration engineering remains buyer/EPC responsibility","A","Relevant for liquid-cooling and HVAC component BOM sourcing","https://www.sanhuaeurope.com/en"
"CHINT Global","正泰","Power Distribution Cabinet; Low Voltage Switchgear","Wenzhou, Zhejiang","Low-voltage distribution, main/sub/final distribution boards, power transmission and distribution, data center solutions","https://www.chintglobal.com/global/en/home.html","Global subsidiaries and country sites listed publicly","IEC and UL product families listed publicly; verify per SKU","Main distribution boards, sub distribution boards, final distribution boxes, LV switchgear","Validate local electrical standards, breaker selectivity and panel-builder scope","A","Strong candidate for data center LV distribution and cabinet RFQs","https://www.chintglobal.com/global/en/home.html"
"DELIXI Electric","德力西电气","Power Distribution Cabinet; Low Voltage Components","Wenzhou, Zhejiang","Low-voltage electrical components, distribution and control products","https://www.delixi-electric.com/","Needs verification","Needs verification","MCB, MCCB, contactors, distribution boxes and panel components","Verify export entity, certifications and panel-builder capability before RFQ","B","Useful alternative source for low-voltage components and cost-sensitive distribution panels","https://www.delixi-electric.com/"
"TBEA","特变电工","Power Distribution; Transformer; Cable","Changji, Xinjiang / national operations","Power transformers, wires and cables, power transmission and transformation equipment","https://www.tbea.com/","Needs verification","Needs verification","Transformers, medium-voltage electrical packages, cables","Large power-sector supplier; data-center accessory fit depends on project voltage scope","B","Relevant when AI infrastructure project includes MV intake, transformer or grid-side packages","https://www.tbea.com/"
"Hengtong Group","亨通集团","Industrial Cable; Fiber Cable","Suzhou, Jiangsu","Power cables, telecom cables, optical fiber cable, system solutions","https://www.hengtonggroup.com/en/","Public site lists global subsidiaries/regions and cable solutions","Public site lists CE, KEMA, BV, ABS, DNV, CC, UL, GL, ROHS, TLC for certification section; verify per SKU","Power cable, fiber optic cable, OPGW, low/medium-voltage cable","Confirm cable fire rating, CPR/UL/IEC requirements for target country","A","Major cable group suitable for power and fiber cabling RFQs","https://www.hengtonggroup.com/en/"
"ZTT Group","中天科技","Industrial Cable; Optical Cable; Smart Grid","Nantong, Jiangsu","Optical fiber, fiber optic cable, power grid products, special conductor, intelligent cable, energy storage","https://www.zttgroup.com/","Public site lists overseas plants and international project cases","Needs verification per cable type","Optical cable, power cable, hybrid cable, smart grid accessories","Confirm data-center indoor cable ratings and country-specific approvals","A","Large cable and smart-grid supplier with international project exposure","https://www.zttgroup.com/"
"Far East Cable","远东电缆","Industrial Cable","Yixing, Jiangsu","Power cables, electrical cables and cable systems","https://www.fe-cable.com/","Needs verification","Needs verification","LV/MV cables, flame-retardant cables, control cables","Verify official export channel, cable standards and fire-performance certificates","B","Candidate for cable price benchmarking and domestic China cable supply","https://www.fe-cable.com/"
"Toten","图腾","Server Rack / Cabinet; PDU; Cable Management","Shenzhen, Guangdong","Server racks, network cabinets, PDUs and cabinet accessories","https://www.toten.com.cn/","Needs verification","Needs verification","Server racks, network cabinets, rack PDU, cable managers","Official site access was limited; verify English catalog, load rating and export references","B","Useful rack/cabinet specialist candidate for data center accessory packages","https://www.toten.com.cn/"
"Huapeng Group","华鹏集团","Cable Tray; Busduct; Power Distribution","Yangzhong, Jiangsu","Cable tray, busduct, switchgear and power distribution equipment","https://www.huapeng.com/","Needs verification","Needs verification","Cable trays, ladder trays, busduct, switchgear cabinets","Verify current product catalog and international certification before RFQ","B","Candidate for cable tray and busway packages often needed with power rooms","https://www.huapeng.com/"
"Dahua Technology","大华股份","Access Control / Security; Fire Alarm","Hangzhou, Zhejiang","Access control, time attendance, video security, alarms, fire alarm products, cabling accessories, UPS accessories","https://www.dahuasecurity.com/","Public site lists international regions","Needs verification per product and destination; sanctions/compliance screening required","Access control terminals, turnstiles, cameras, fire alarm devices for non-sensitive projects","High compliance risk in some markets; screen sanctions, privacy and cybersecurity rules","B","Broad AIoT security catalog with access control and fire alarm product lines","https://www.dahuasecurity.com/"
"Hikvision","海康威视","Access Control / Security","Hangzhou, Zhejiang","Video surveillance, access control, AIoT security products","https://www.hikvision.com/en/","Global presence; exact markets need verification","Needs verification; sanctions/compliance screening required","Access control, cameras, NVR, perimeter security devices","Significant sanctions and public-sector restrictions in some markets; avoid sensitive jurisdictions unless cleared","C","Large China-based security supplier, but compliance risk means use only after legal review","https://www.hikvision.com/en/"
"Uniview","宇视科技","Access Control / Security","Hangzhou, Zhejiang","Network cameras, thermal cameras, NVR, intelligent traffic and security products","https://www.uniview.com/","Global website with multi-language options","Needs verification per product","Cameras, NVR, thermal cameras, perimeter security devices","Confirm cybersecurity requirements and local approvals before RFQ","B","Alternative Chinese AIoT/security supplier for access and perimeter packages","https://www.uniview.com/"
"GST","海湾安全技术","Fire Protection","Qinhuangdao, Hebei","Fire alarm systems, detectors, notification devices and fire control products","https://www.gst.com.cn/","Needs verification","Needs verification","Addressable fire alarm panels, smoke detectors, heat detectors, modules","Official English site access was limited; verify ownership, approvals, and destination fire code compliance","B","Recognized fire alarm brand candidate for fire protection package benchmarking","https://www.gst.com.cn/"
"Jade Bird Fire","青鸟消防","Fire Protection","Beijing","Fire alarm systems, detection devices and fire safety products","https://www.jbufa.com/","Needs verification","Needs verification","Fire alarm panels, detectors, modules, emergency devices","Official English site access was limited; verify export approvals and local code acceptance","B","Candidate Chinese fire alarm supplier for early RFQ comparison","https://www.jbufa.com/"
"Suzhou Anjie Technology","安洁科技","Metal Fabrication; Precision Components","Suzhou, Jiangsu","Precision metal and functional components for electronics and industrial applications","https://www.anjiesz.com/","Needs verification","Needs verification","Custom sheet-metal components, brackets, precision fabricated parts","Not a data-center-specialist by default; use for custom metalwork only after capability audit","C","Potential custom metal fabrication source for brackets, panels and non-critical assemblies","https://www.anjiesz.com/"
